"","Date","UFOs"
"1","11/2016","160"
"2","10/2016","454"
"3","09/2016","574"
"4","08/2016","532"
"5","07/2016","665"
"6","06/2016","415"
"7","05/2016","377"
"8","04/2016","380"
"9","03/2016","405"
"10","02/2016","424"
"11","01/2016","411"
"12","12/2015","433"
"13","11/2015","900"
"14","10/2015","649"
"15","09/2015","726"
"16","08/2015","620"
"17","07/2015","733"
"18","06/2015","483"
"19","05/2015","464"
"20","04/2015","451"
"21","03/2015","480"
"22","02/2015","341"
"23","01/2015","539"
"24","12/2014","526"
"25","11/2014","547"
"26","10/2014","791"
"27","09/2014","831"
"28","08/2014","927"
"29","07/2014","1101"
"30","06/2014","781"
"31","05/2014","655"
"32","04/2014","667"
"33","03/2014","517"
"34","02/2014","555"
"35","01/2014","717"
"36","12/2013","769"
"37","11/2013","807"
"38","10/2013","796"
"39","09/2013","795"
"40","08/2013","922"
"41","07/2013","980"
"42","06/2013","639"
"43","05/2013","537"
"44","04/2013","430"
"45","03/2013","400"
"46","02/2013","284"
"47","01/2013","399"
"48","12/2012","674"
"49","11/2012","782"
"50","10/2012","677"
"51","09/2012","776"
"52","08/2012","906"
"53","07/2012","938"
"54","06/2012","764"
"55","05/2012","521"
"56","04/2012","500"
"57","03/2012","537"
"58","02/2012","397"
"59","01/2012","586"
"60","12/2011","537"
"61","11/2011","448"
"62","10/2011","644"
"63","09/2011","560"
"64","08/2011","646"
"65","07/2011","767"
"66","06/2011","405"
"67","05/2011","321"
"68","04/2011","318"
"69","03/2011","334"
"70","02/2011","276"
"71","01/2011","330"
"72","12/2010","307"
"73","11/2010","366"
"74","10/2010","477"
"75","09/2010","453"
"76","08/2010","533"
"77","07/2010","849"
"78","06/2010","388"
"79","05/2010","333"
"80","04/2010","296"
"81","03/2010","262"
"82","02/2010","190"
"83","01/2010","294"
"84","12/2009","293"
"85","11/2009","324"
"86","10/2009","323"
"87","09/2009","600"
"88","08/2009","504"
"89","07/2009","616"
"90","06/2009","392"
"91","05/2009","360"
"92","04/2009","319"
"93","03/2009","341"
"94","02/2009","397"
"95","01/2009","499"
"96","12/2008","350"
"97","11/2008","459"
"98","10/2008","536"
"99","09/2008","385"
"100","08/2008","506"
"101","07/2008","577"
"102","06/2008","484"
"103","05/2008","347"
"104","04/2008","444"
"105","03/2008","341"
"106","02/2008","372"
"107","01/2008","476"
"108","12/2007","362"
"109","11/2007","375"
"110","10/2007","449"
"111","09/2007","451"
"112","08/2007","473"
"113","07/2007","466"
"114","06/2007","428"
"115","05/2007","317"
"116","04/2007","323"
"117","03/2007","363"
"118","02/2007","267"
"119","01/2007","441"
"120","12/2006","387"
"121","11/2006","413"
"122","10/2006","401"
"123","09/2006","328"
"124","08/2006","430"
"125","07/2006","430"
"126","06/2006","342"
"127","05/2006","302"
"128","04/2006","322"
"129","03/2006","306"
"130","02/2006","233"
"131","01/2006","253"
"132","12/2005","277"
"133","11/2005","467"
"134","10/2005","487"
"135","09/2005","532"
"136","08/2005","355"
"137","07/2005","457"
"138","06/2005","411"
"139","05/2005","302"
"140","04/2005","317"
"141","03/2005","358"
"142","02/2005","278"
"143","01/2005","260"
"144","12/2004","306"
"145","11/2004","331"
"146","10/2004","453"
"147","09/2004","412"
"148","08/2004","552"
"149","07/2004","438"
"150","06/2004","431"
"151","05/2004","390"
"152","04/2004","393"
"153","03/2004","416"
"154","02/2004","301"
"155","01/2004","305"
"156","12/2003","383"
"157","11/2003","472"
"158","10/2003","474"
"159","09/2003","509"
"160","08/2003","545"
"161","07/2003","452"
"162","06/2003","309"
"163","05/2003","252"
"164","04/2003","226"
"165","03/2003","191"
"166","02/2003","267"
"167","01/2003","327"
"168","12/2002","250"
"169","11/2002","294"
"170","10/2002","338"
"171","09/2002","377"
"172","08/2002","488"
"173","07/2002","434"
"174","06/2002","350"
"175","05/2002","251"
"176","04/2002","191"
"177","03/2002","197"
"178","02/2002","260"
"179","01/2002","238"
"180","12/2001","213"
"181","11/2001","280"
"182","10/2001","257"
"183","09/2001","350"
"184","08/2001","397"
"185","07/2001","409"
"186","06/2001","314"
"187","05/2001","255"
"188","04/2001","234"
"189","03/2001","291"
"190","02/2001","233"
"191","01/2001","282"
"192","12/2000","233"
"193","11/2000","232"
"194","10/2000","329"
"195","09/2000","298"
"196","08/2000","298"
"197","07/2000","366"
"198","06/2000","277"
"199","05/2000","188"
"200","04/2000","200"
"201","03/2000","225"
"202","02/2000","204"
"203","01/2000","231"
"204","12/1999","226"
"205","11/1999","450"
"206","10/1999","312"
"207","09/1999","407"
"208","08/1999","319"
"209","07/1999","307"
"210","06/1999","287"
"211","05/1999","190"
"212","04/1999","165"
"213","03/1999","162"
"214","02/1999","175"
"215","01/1999","145"
"216","12/1998","193"
"217","11/1998","213"
"218","10/1998","226"
"219","09/1998","249"
"220","08/1998","176"
"221","07/1998","185"
"222","06/1998","213"
"223","05/1998","107"
"224","04/1998","130"
"225","03/1998","146"
"226","02/1998","87"
"227","01/1998","85"
"228","12/1997","73"
"229","11/1997","124"
"230","10/1997","114"
"231","09/1997","57"
"232","08/1997","131"
"233","07/1997","228"
"234","06/1997","199"
"235","05/1997","107"
"236","04/1997","95"
"237","03/1997","198"
"238","02/1997","48"
"239","01/1997","56"
"240","12/1996","85"
"241","11/1996","87"
"242","10/1996","55"
"243","09/1996","73"
"244","08/1996","85"
"245","07/1996","79"
"246","06/1996","153"
"247","05/1996","81"
"248","04/1996","103"
"249","03/1996","66"
"250","02/1996","76"
"251","01/1996","59"
"252","12/1995","59"
"253","11/1995","121"
"254","10/1995","109"
"255","09/1995","131"
"256","08/1995","195"
"257","07/1995","136"
"258","06/1995","182"
"259","05/1995","105"
"260","04/1995","92"
"261","03/1995","124"
"262","02/1995","116"
"263","01/1995","96"
"264","12/1994","39"
"265","11/1994","25"
"266","10/1994","65"
"267","09/1994","36"
"268","08/1994","63"
"269","07/1994","58"
"270","06/1994","87"
"271","05/1994","33"
"272","04/1994","31"
"273","03/1994","24"
"274","02/1994","11"
"275","01/1994","19"
"276","12/1993","16"
"277","11/1993","20"
"278","10/1993","23"
"279","09/1993","28"
"280","08/1993","44"
"281","07/1993","47"
"282","06/1993","100"
"283","05/1993","31"
"284","04/1993","15"
"285","03/1993","20"
"286","02/1993","16"
"287","01/1993","18"
"288","12/1992","15"
"289","11/1992","18"
"290","10/1992","36"
"291","09/1992","23"
"292","08/1992","32"
"293","07/1992","35"
"294","06/1992","67"
"295","05/1992","21"
"296","04/1992","23"
"297","03/1992","10"
"298","02/1992","15"
"299","01/1992","5"
"300","12/1991","12"
"301","11/1991","17"
"302","10/1991","17"
"303","09/1991","30"
"304","08/1991","32"
"305","07/1991","36"
"306","06/1991","51"
"307","05/1991","25"
"308","04/1991","16"
"309","03/1991","15"
"310","02/1991","9"
"311","01/1991","11"
"312","12/1990","17"
"313","11/1990","21"
"314","10/1990","27"
"315","09/1990","21"
"316","08/1990","36"
"317","07/1990","50"
"318","06/1990","58"
"319","05/1990","19"
"320","04/1990","9"
"321","03/1990","9"
"322","02/1990","21"
"323","01/1990","19"
"324","12/1989","21"
"325","11/1989","27"
"326","10/1989","39"
"327","09/1989","24"
"328","08/1989","24"
"329","07/1989","36"
"330","06/1989","57"
"331","05/1989","23"
"332","04/1989","11"
"333","03/1989","11"
"334","02/1989","8"
"335","01/1989","15"
"336","12/1988","8"
"337","11/1988","18"
"338","10/1988","38"
"339","09/1988","18"
"340","08/1988","54"
"341","07/1988","35"
"342","06/1988","59"
"343","05/1988","12"
"344","04/1988","9"
"345","03/1988","15"
"346","02/1988","5"
"347","01/1988","12"
"348","12/1987","13"
"349","11/1987","18"
"350","10/1987","29"
"351","09/1987","13"
"352","08/1987","35"
"353","07/1987","47"
"354","06/1987","52"
"355","05/1987","18"
"356","04/1987","19"
"357","03/1987","10"
"358","02/1987","4"
"359","01/1987","13"
"360","12/1986","9"
"361","11/1986","11"
"362","10/1986","26"
"363","09/1986","19"
"364","08/1986","28"
"365","07/1986","25"
"366","06/1986","55"
"367","05/1986","14"
"368","04/1986","16"
"369","03/1986","9"
"370","02/1986","10"
"371","01/1986","7"
"372","12/1985","10"
"373","11/1985","11"
"374","10/1985","20"
"375","09/1985","20"
"376","08/1985","27"
"377","07/1985","40"
"378","06/1985","78"
"379","05/1985","17"
"380","04/1985","10"
"381","03/1985","6"
"382","02/1985","4"
"383","01/1985","10"
"384","12/1984","7"
"385","11/1984","12"
"386","10/1984","20"
"387","09/1984","18"
"388","08/1984","29"
"389","07/1984","26"
"390","06/1984","56"
"391","05/1984","13"
"392","04/1984","9"
"393","03/1984","10"
"394","02/1984","5"
"395","01/1984","8"
"396","12/1983","7"
"397","11/1983","8"
"398","10/1983","11"
"399","09/1983","17"
"400","08/1983","21"
"401","07/1983","28"
"402","06/1983","48"
"403","05/1983","16"
"404","04/1983","22"
"405","03/1983","7"
"406","02/1983","4"
"407","01/1983","3"
"408","12/1982","9"
"409","11/1982","9"
"410","10/1982","22"
"411","09/1982","20"
"412","08/1982","24"
"413","07/1982","36"
"414","06/1982","66"
"415","05/1982","16"
"416","04/1982","5"
"417","03/1982","1"
"418","02/1982","5"
"419","01/1982","7"
"420","12/1981","5"
"421","11/1981","13"
"422","10/1981","18"
"423","09/1981","21"
"424","08/1981","24"
"425","07/1981","24"
"426","06/1981","56"
"427","05/1981","12"
"428","04/1981","12"
"429","03/1981","5"
"430","02/1981","4"
"431","01/1981","13"
"432","12/1980","18"
"433","11/1980","6"
"434","10/1980","28"
"435","09/1980","24"
"436","08/1980","29"
"437","07/1980","42"
"438","06/1980","78"
"439","05/1980","22"
"440","04/1980","7"
"441","03/1980","15"
"442","02/1980","7"
"443","01/1980","15"
"444","12/1979","9"
"445","11/1979","20"
"446","10/1979","18"
"447","09/1979","28"
"448","08/1979","33"
"449","07/1979","41"
"450","06/1979","73"
"451","05/1979","17"
"452","04/1979","18"
"453","03/1979","15"
"454","02/1979","11"
"455","01/1979","11"
"456","12/1978","15"
"457","11/1978","22"
"458","10/1978","28"
"459","09/1978","23"
"460","08/1978","61"
"461","07/1978","83"
"462","06/1978","86"
"463","05/1978","14"
"464","04/1978","15"
"465","03/1978","14"
"466","02/1978","13"
"467","01/1978","21"
"468","12/1977","11"
"469","11/1977","15"
"470","10/1977","16"
"471","09/1977","23"
"472","08/1977","34"
"473","07/1977","65"
"474","06/1977","79"
"475","05/1977","25"
"476","04/1977","12"
"477","03/1977","16"
"478","02/1977","6"
"479","01/1977","13"
"480","12/1976","9"
"481","11/1976","18"
"482","10/1976","23"
"483","09/1976","33"
"484","08/1976","31"
"485","07/1976","68"
"486","06/1976","103"
"487","05/1976","16"
"488","04/1976","8"
"489","03/1976","4"
"490","02/1976","11"
"491","01/1976","11"
"492","12/1975","16"
"493","11/1975","20"
"494","10/1975","34"
"495","09/1975","24"
"496","08/1975","43"
"497","07/1975","60"
"498","06/1975","115"
"499","05/1975","13"
"500","04/1975","16"
"501","03/1975","12"
"502","02/1975","5"
"503","01/1975","17"
"504","12/1974","8"
"505","11/1974","23"
"506","10/1974","32"
"507","09/1974","28"
"508","08/1974","42"
"509","07/1974","49"
"510","06/1974","78"
"511","05/1974","18"
"512","04/1974","17"
"513","03/1974","7"
"514","02/1974","4"
"515","01/1974","13"
"516","12/1973","5"
"517","11/1973","14"
"518","10/1973","46"
"519","09/1973","24"
"520","08/1973","27"
"521","07/1973","44"
"522","06/1973","64"
"523","05/1973","13"
"524","04/1973","10"
"525","03/1973","9"
"526","02/1973","8"
"527","01/1973","7"
"528","12/1972","7"
"529","11/1972","8"
"530","10/1972","19"
"531","09/1972","17"
"532","08/1972","22"
"533","07/1972","33"
"534","06/1972","71"
"535","05/1972","12"
"536","04/1972","3"
"537","03/1972","9"
"538","02/1972","2"
"539","01/1972","5"
"540","12/1971","2"
"541","11/1971","6"
"542","10/1971","11"
"543","09/1971","16"
"544","08/1971","15"
"545","07/1971","24"
"546","06/1971","33"
"547","05/1971","9"
"548","04/1971","10"
"549","03/1971","2"
"550","02/1971","8"
"551","01/1971","6"
"552","12/1970","8"
"553","11/1970","6"
"554","10/1970","15"
"555","09/1970","13"
"556","08/1970","18"
"557","07/1970","28"
"558","06/1970","53"
"559","05/1970","12"
"560","04/1970","6"
"561","03/1970","6"
"562","02/1970","6"
"563","01/1970","11"
"564","12/1969","7"
"565","11/1969","8"
"566","10/1969","17"
"567","09/1969","7"
"568","08/1969","28"
"569","07/1969","37"
"570","06/1969","49"
"571","05/1969","9"
"572","04/1969","6"
"573","03/1969","6"
"574","02/1969","2"
"575","01/1969","10"
"576","12/1968","8"
"577","11/1968","8"
"578","10/1968","25"
"579","09/1968","16"
"580","08/1968","27"
"581","07/1968","48"
"582","06/1968","84"
"583","05/1968","17"
"584","04/1968","12"
"585","03/1968","2"
"586","02/1968","2"
"587","01/1968","17"
"588","12/1967","3"
"589","11/1967","9"
"590","10/1967","20"
"591","09/1967","25"
"592","08/1967","40"
"593","07/1967","20"
"594","06/1967","71"
"595","05/1967","11"
"596","04/1967","18"
"597","03/1967","7"
"598","02/1967","6"
"599","01/1967","5"
"600","12/1966","7"
"601","11/1966","14"
"602","10/1966","19"
"603","09/1966","21"
"604","08/1966","20"
"605","07/1966","25"
"606","06/1966","80"
"607","05/1966","15"
"608","04/1966","12"
"609","03/1966","17"
"610","02/1966","3"
"611","01/1966","5"
"612","12/1965","16"
"613","11/1965","9"
"614","10/1965","23"
"615","09/1965","10"
"616","08/1965","32"
"617","07/1965","37"
"618","06/1965","61"
"619","05/1965","10"
"620","04/1965","8"
"621","03/1965","2"
"622","02/1965","4"
"623","01/1965","4"
"624","11/1964","5"
"625","10/1964","5"
"626","09/1964","13"
"627","08/1964","19"
"628","07/1964","19"
"629","06/1964","35"
"630","05/1964","9"
"631","04/1964","4"
"632","03/1964","4"
"633","01/1964","2"
"634","12/1963","1"
"635","11/1963","3"
"636","10/1963","5"
"637","09/1963","1"
"638","08/1963","9"
"639","07/1963","20"
"640","06/1963","37"
"641","05/1963","6"
"642","04/1963","5"
"643","03/1963","3"
"644","02/1963","2"
"645","01/1963","3"
"646","12/1962","1"
"647","11/1962","5"
"648","10/1962","3"
"649","09/1962","9"
"650","08/1962","11"
"651","07/1962","15"
"652","06/1962","24"
"653","05/1962","5"
"654","04/1962","2"
"655","03/1962","6"
"656","02/1962","1"
"657","01/1962","1"
"658","12/1961","2"
"659","11/1961","2"
"660","10/1961","6"
"661","09/1961","3"
"662","08/1961","9"
"663","07/1961","8"
"664","06/1961","16"
"665","05/1961","4"
"666","04/1961","2"
"667","03/1961","2"
"668","02/1961","2"
"669","01/1961","2"
"670","11/1960","3"
"671","10/1960","2"
"672","09/1960","6"
"673","08/1960","14"
"674","07/1960","14"
"675","06/1960","31"
"676","05/1960","3"
"677","04/1960","1"
"678","03/1960","1"
"679","02/1960","3"
"680","01/1960","1"
"681","12/1959","3"
"682","11/1959","2"
"683","10/1959","7"
"684","09/1959","3"
"685","08/1959","8"
"686","07/1959","11"
"687","06/1959","20"
"688","05/1959","4"
"689","04/1959","3"
"690","03/1959","2"
"691","01/1959","1"
"692","11/1958","2"
"693","10/1958","3"
"694","09/1958","7"
"695","08/1958","5"
"696","07/1958","9"
"697","06/1958","25"
"698","05/1958","4"
"699","04/1958","3"
"700","02/1958","1"
"701","01/1958","3"
"702","12/1957","1"
"703","11/1957","3"
"704","10/1957","9"
"705","09/1957","9"
"706","08/1957","13"
"707","07/1957","16"
"708","06/1957","24"
"709","05/1957","3"
"710","04/1957","1"
"711","03/1957","4"
"712","01/1957","1"
"713","12/1956","1"
"714","11/1956","2"
"715","10/1956","4"
"716","09/1956","4"
"717","08/1956","2"
"718","07/1956","7"
"719","06/1956","25"
"720","05/1956","3"
"721","03/1956","3"
"722","02/1956","1"
"723","01/1956","2"
"724","10/1955","5"
"725","09/1955","1"
"726","08/1955","5"
"727","07/1955","6"
"728","06/1955","20"
"729","05/1955","2"
"730","03/1955","1"
"731","02/1955","2"
"732","01/1955","1"
"733","12/1954","2"
"734","11/1954","2"
"735","10/1954","3"
"736","09/1954","3"
"737","08/1954","7"
"738","07/1954","12"
"739","06/1954","25"
"740","05/1954","2"
"741","04/1954","1"
"742","02/1954","3"
"743","01/1954","4"
"744","11/1953","4"
"745","10/1953","2"
"746","09/1953","1"
"747","08/1953","6"
"748","07/1953","6"
"749","06/1953","9"
"750","05/1953","2"
"751","04/1953","6"
"752","03/1953","1"
"753","01/1953","2"
"754","12/1952","2"
"755","10/1952","5"
"756","09/1952","2"
"757","08/1952","5"
"758","07/1952","17"
"759","06/1952","23"
"760","05/1952","2"
"761","04/1952","2"
"762","02/1952","2"
"763","01/1952","1"
"764","12/1951","1"
"765","11/1951","1"
"766","10/1951","1"
"767","08/1951","2"
"768","07/1951","7"
"769","06/1951","7"
"770","05/1951","1"
"771","04/1951","1"
"772","03/1951","1"
"773","02/1951","3"
"774","01/1951","1"
"775","12/1950","1"
"776","10/1950","2"
"777","08/1950","2"
"778","07/1950","7"
"779","06/1950","17"
"780","05/1950","1"
"781","04/1950","2"
"782","03/1950","1"
"783","01/1950","2"
"784","10/1949","3"
"785","09/1949","2"
"786","08/1949","4"
"787","07/1949","3"
"788","06/1949","5"
"789","05/1949","2"
"790","04/1949","1"
"791","12/1948","1"
"792","11/1948","1"
"793","10/1948","1"
"794","08/1948","2"
"795","07/1948","1"
"796","06/1948","6"
"797","05/1948","1"
"798","04/1948","1"
"799","12/1947","1"
"800","10/1947","3"
"801","08/1947","5"
"802","07/1947","22"
"803","06/1947","12"
"804","04/1947","2"
"805","02/1947","1"
"806","01/1947","3"
"807","12/1946","1"
"808","09/1946","2"
"809","07/1946","1"
"810","06/1946","4"
"811","03/1946","1"
"812","02/1946","1"
"813","01/1946","1"
"814","12/1945","1"
"815","08/1945","2"
"816","07/1945","2"
"817","06/1945","6"
"818","05/1945","1"
"819","04/1945","1"
"820","01/1945","1"
"821","09/1944","1"
"822","08/1944","1"
"823","07/1944","2"
"824","06/1944","4"
"825","04/1944","2"
"826","03/1944","1"
"827","01/1944","3"
"828","10/1943","1"
"829","09/1943","1"
"830","08/1943","3"
"831","06/1943","3"
"832","04/1943","1"
"833","01/1943","1"
"834","11/1942","1"
"835","07/1942","1"
"836","06/1942","1"
"837","02/1942","2"
"838","07/1941","2"
"839","06/1941","2"
"840","06/1940","1"
"841","07/1939","1"
"842","06/1939","2"
"843","08/1937","1"
"844","06/1937","1"
"845","10/1936","1"
"846","09/1936","1"
"847","07/1936","1"
"848","06/1935","1"
"849","05/1935","1"
"850","01/1935","1"
"851","09/1934","1"
"852","04/1933","1"
"853","11/1932","1"
"854","10/1931","1"
"855","06/1931","1"
"856","02/1931","1"
"857","09/1930","1"
"858","08/1930","1"
"859","06/1930","3"
"860","07/1929","1"
"861","12/1925","1"
"862","12/1922","1"
"863","06/1920","2"
"864","10/1917","1"
"865","04/1916","1"
"866","09/1914","1"
"867","06/1910","1"
"868","05/1910","1"
"869","01/1910","1"
"870","11/1906","1"
"871","07/1905","1"
"872","06/1899","1"
"873","04/1897","2"
"874","06/1896","1"
"875","10/1886","1"
"876","12/1880","1"
"877","06/1871","1"
"878","06/1865","1"
"879","05/1864","1"
"880","03/1861","1"
"881","08/1860","1"
"882","06/1838","1"
"883","04/1800","1"
"884","06/1790","1"
"885","05/1788","1"
"886","12/1762","1"
"887","07/1615","1"
"888","04/1561","1"
"889","06/1400","1"
"890","11/1016","1"
"891","UNSPECIFIED / APPROXIMATE","252"
